,app_id,attemptId,completionTime-0,completionTime-1,completionTime-2,inputBytes-0,inputBytes-1,inputBytes-2,numActiveTasks,numCompleteTasks,numFailedTasks,shuffleReadBytes-0,shuffleReadBytes-1,shuffleReadBytes-2,shuffleWriteBytes-0,shuffleWriteBytes-1,shuffleWriteBytes-2,stageId,status
199,app-20170609080121-0248,0,2.663,,,3336.0,,,0,2,0,0.0,,,2988.0,,,0,COMPLETE
200,app-20170609080121-0248,0,,,5.624,,,0.0,0,200,0,,,3706.0,,,0.0,2,COMPLETE
201,app-20170603073630-0811,0,4.549,,,3336.0,,,0,2,0,0.0,,,2988.0,,,0,COMPLETE
202,app-20170603073630-0811,0,,4.617,,,584.0,,0,2,0,,0.0,,,718.0,,1,COMPLETE
203,app-20170603073630-0811,0,,,7.381,,,0.0,0,200,0,,,3706.0,,,0.0,2,COMPLETE
204,app-20170603100213-0897,0,,4.108,,,584.0,,0,2,0,,0.0,,,718.0,,1,COMPLETE
205,app-20170605234021-1179,0,,4.353,,,584.0,,0,2,0,,0.0,,,718.0,,1,COMPLETE
206,app-20170603085221-0871,0,,106.928,,,3865016361.0,,0,29,0,,0.0,,,2958216658.0,,1,COMPLETE
207,app-20170603085221-0871,0,11.933,,,600091310.0,,,0,5,0,0.0,,,321019395.0,,,0,COMPLETE
208,app-20170603085221-0871,0,,,160.635,,,0.0,0,200,0,,,3279236053.0,,,0.0,2,COMPLETE
209,app-20170606034126-0017,0,11.98,,,171959313.0,,,0,2,0,0.0,,,108726774.0,,,0,COMPLETE
210,app-20170606034126-0017,0,,21.183,,,760190967.0,,0,6,0,,0.0,,,567345437.0,,1,COMPLETE
211,app-20170606034126-0017,0,,,43.587,,,0.0,0,200,0,,,676072211.0,,,0.0,2,COMPLETE
212,app-20170603011150-0522,0,7.019,,,118998996.0,,,0,2,0,0.0,,,63514715.0,,,0,COMPLETE
213,app-20170603011150-0522,0,,22.265,,,760190967.0,,0,6,0,,0.0,,,587088337.0,,1,COMPLETE
214,app-20170603011150-0522,0,,,42.456,,,0.0,0,200,0,,,650603052.0,,,0.0,2,COMPLETE
215,app-20170609045526-0118,0,,,7.135,,,0.0,0,200,0,,,34771946.0,,,0.0,2,COMPLETE
216,app-20170602062451-0168,0,,4.941,,,2855193.0,,0,2,0,,0.0,,,2432237.0,,1,COMPLETE
217,app-20170602062451-0168,0,10.934,,,239192537.0,,,0,2,0,0.0,,,126868397.0,,,0,COMPLETE
218,app-20170602062451-0168,0,,,16.237,,,0.0,0,200,0,,,129300634.0,,,0.0,2,COMPLETE
